Date,retorno_diario_activo,posicion,spread_estimado,retorno_estrategia_bruto,retorno_estrategia_neto,equity_estrategia,equity_buy_and_hold
2016-12-12,0.008241560510084733,0.0,0.010001549659704345,0.0,0.0,0.04505889713096811,4.745914083534304
2016-12-13,0.013367358455365741,-1.0,0.0,-0.013367358455365741,-0.013567358455365741,0.04444756692198882,4.809354418287276
2016-12-14,-0.02512205053044425,-1.0,0.006420116157865806,0.02512205053044425,0.02512205053044425,0.04556418094415833,4.688533573572248
2016-12-15,0.008618552665912826,0.0,0.0,0.0,-0.0002,0.0455550681079695,4.728941947101981
2016-12-16,0.015978864224015954,-1.0,0.0,-0.015978864224015954,-0.016178864224015953,0.04481803884633486,4.804505068397977
2016-12-19,0.002691257839640304,-1.0,0.0,-0.002691257839640304,-0.002691257839640304,0.04469742194793236,4.817435230328894
2016-12-20,0.000671028951757302,-1.0,0.00404456473203525,-0.000671028951757302,-0.000671028951757302,0.04466742868373638,4.82066786884166
2016-12-21,-0.0058674846797431846,-1.0,0.006707021478367509,0.0058674846797431846,0.0058674846797431846,0.04492951413722173,4.792382673975101
2016-12-22,0.0025295130308991,0.0,0.0,0.0,-0.0002,0.04492052823439429,4.804505068397977
2016-12-23,0.002775158159856961,-1.0,0.00043855516086996815,-0.002775158159856961,-0.002994435740291945,0.04478601659917643,4.8178383298426155
2016-12-27,0.0001680687589233898,-1.0,0.004071287177083042,-0.0001680687589233898,-0.0001680687589233898,0.04477848946894948,4.818648057951406
2016-12-28,-0.005031369054976809,-1.0,0.0074704403092042656,0.005031369054976809,0.005031369054976809,0.04500378657519216,4.794403661225805
2016-12-29,0.012895119390287313,0.0,0.0065743021653706995,0.0,-0.0032871510826853498,0.04485585232942658,4.856228068842542
2016-12-30,-0.005991178841428191,-1.0,0.003385850924606502,0.005991178841428191,0.00429825337912494,0.045048654148275066,4.827133537987343
2017-01-03,-0.006194628370631117,0.0,0.0,-0.0,-0.0002,0.045039644417445415,4.797231239624101
2017-01-04,0.0029479932500060535,0.0,0.004275357074848037,0.0,0.0,0.045039644417445415,4.811373444937231
2017-01-05,-0.0005875233320274953,-1.0,0.006333367133560012,0.0005875233320274953,-0.002579160234752511,0.04492347995757655,4.808546650779233
2017-01-06,-0.0029412191625793893,0.0,0.005881897689255531,-0.0,-0.0029409488446277654,0.044791362301098654,4.794403661225804
2017-01-09,-0.0025286103381779723,0.0,0.006127153795498205,-0.0,-0.0,0.044791362301098654,4.78228048256263
2017-01-10,0.0019434309255108584,0.0,0.0,0.0,0.0,0.044791362301098654,4.791574514346909
2017-01-11,0.006999458822869009,-1.0,0.0,-0.006999458822869009,-0.007199458822869009,0.04446888873259169,4.825112942856789
2017-01-12,0.0007537469961862442,-1.0,0.0009742659766306049,-0.0007537469961862442,-0.0007537469961862442,0.04443537044128575,4.828749857243727
2017-01-13,-0.0037657340371668457,-1.0,0.0,0.0037657340371668457,0.0037657340371668457,0.04460270222821062,4.810566069549339
2017-01-17,0.009827852611473675,0.0,0.0,0.0,-0.0002,0.044593781687764976,4.857843603858626
2017-01-18,-0.001580558221748074,-1.0,0.0,0.001580558221748074,0.001380558221748074,0.04465534599971286,4.850165499210581
2017-01-19,-0.0062481607362875335,0.0,0.0,-0.0,-0.0002,0.04464641493051292,4.819860885573917
2017-01-20,-0.0001677541670883631,0.0,0.0,-0.0,-0.0,0.04464641493051292,4.819052333825575
2017-01-23,-0.004024985406518966,0.0,0.00458134863885961,-0.0,-0.0,0.04464641493051292,4.799655718508676
2017-01-24,0.00025260884810696105,0.0,0.0,0.0,0.0,0.04464641493051292,4.800868154011039
2017-01-25,0.0017676520170932797,-1.0,0.003533177181580636,-0.0017676520170932797,-0.0035342406078835977,0.044488623757869085,4.809354418287276
2017-01-26,-0.002268813327547803,-1.0,0.006362640539761642,0.002268813327547803,0.002268813327547803,0.044589560140375205,4.7984428908861645
2017-01-27,0.022063425586379193,0.0,0.0,0.0,-0.0002,0.04458064222834713,4.904312978539721
2017-01-30,0.008898176717688777,-1.0,0.0,-0.008898176717688777,-0.009098176717688778,0.04417503966716557,4.947952422101622
2017-01-31,0.010371630135531662,-1.0,0.004352555858411177,-0.010371630135531662,-0.010371630135531662,0.043716872494515294,4.999270754551868
2017-02-01,-0.00889089579110569,-1.0,0.008360171616454791,0.00889089579110569,0.00889089579110569,0.04410555465217709,4.954822759241625
2017-02-02,0.006850675068283074,0.0,0.01064155803757024,0.0,-0.00532077901878512,0.0438708787423719,4.988766639986124
2017-02-03,0.006074413093102526,0.0,0.0,0.0,0.0,0.0438708787423719,5.019070469382489
2017-02-06,-0.002817537860664965,0.0,0.009857214063513153,-0.0,-0.0,0.0438708787423719,5.004929048309658
2017-02-07,0.0037944919696102364,1.0,0.005464881791257767,0.0037944919696102364,0.0010620510739813528,0.043917471856256746,5.023920211391938
2017-02-08,0.015844980829203603,0.0,0.0,0.0,-0.0002,0.043908688361885495,5.103524130828892
2017-02-09,-0.013064104637614204,0.0,0.015437052230570857,-0.0,-0.0,0.043908688361885495,5.036851157563154
2017-02-10,0.006578580140571111,1.0,0.0071072305606828265,0.006578580140571111,0.0030249648602296976,0.044041510601238974,5.069986486559312
2017-02-13,0.004223849074021624,0.0,0.0,0.0,-0.0002,0.04403270229911873,5.091401344285868
2017-02-14,0.0,0.0,0.004808971774575193,0.0,0.0,0.04403270229911873,5.091401344285868
2017-02-15,-0.005634732868314951,0.0,0.01015874740451853,-0.0,-0.0,0.04403270229911873,5.062712657785437
2017-02-16,0.007183339392706767,1.0,0.0008600437398005887,0.007183339392706767,0.006753317522806473,0.04433006911913189,5.0990798410540625
2017-02-17,0.005309342118204663,0.0,0.0,0.0,-0.0002,0.044321203105308064,5.126152600418259
2017-02-21,0.011035719429938862,0.0,0.003016453729322367,0.0,0.0,0.044321203105308064,5.182723382271527
2017-02-22,0.001403476172152196,0.0,0.0019000496091230914,0.0,0.0,0.044321203105308064,5.189997211045401
2017-02-23,0.005683780844157216,0.0,0.0,0.0,0.0,0.044321203105308064,5.21949601777477
2017-02-24,0.02163247266669921,0.0,0.0,0.0,0.0,0.044321203105308064,5.332406622713227
